"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","SirGladiator","2026-07-16T23:26:16.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Oceanman","2026-07-16T23:26:17.000Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","joberry","2026-07-16T23:26:18.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","boldest19","2026-07-17T01:06:05.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Skyrine","2026-07-17T03:13:04.000Z"
"031m2","1","6","6","PF","Giannis Antetokounmpo","MIA","jlinebaugh","2026-07-17T03:13:05.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","BadHabits","2026-07-17T06:19:27.000Z"
"05qug","1","8","8","SG","Anthony Edwards","MIN","starks43","2026-07-17T14:19:34.000Z"
"05qsq","1","9","9","PG","Tyrese Maxey","PHI","bennyo","2026-07-17T14:19:35.000Z"
"04ewe","1","10","10","SG","Donovan Mitchell","CLE","Anyang","2026-07-17T16:31:49.000Z"
"03xmv","1","11","11","PF","Jayson Tatum","BOS","oceansstar","2026-07-17T17:07:10.000Z"
"05uie","1","12","12","PF","Scottie Barnes","TOR","Sternhold","2026-07-18T01:07:21.000Z"
"05qtv","2","1","13","PG","Tyrese Haliburton","IND","Sternhold","2026-07-18T02:01:06.000Z"
"001aw","2","2","14","PF","Kevin Durant","HOU","oceansstar","2026-07-18T02:56:57.000Z"
"06v5l","2","3","15","SF","Cooper Flagg","DAL","Anyang","2026-07-18T09:59:31.000Z"
"05uiq","2","4","16","C","Alperen Sengun","HOU","bennyo","2026-07-18T09:59:32.000Z"
"03lls","2","5","17","SF","Jaylen Brown","PHI","starks43","2026-07-18T14:45:47.000Z"
"06210","2","6","18","PF","Paolo Banchero","ORL","BadHabits","2026-07-18T22:46:02.000Z"
"03nwm","2","7","19","SG","Devin Booker","PHO","jlinebaugh","2026-07-18T22:56:42.000Z"
"042n4","2","8","20","PG","Jamal Murray","DEN","Skyrine","2026-07-19T03:00:19.000Z"
"03ad3","2","9","21","C","Karl-Anthony Towns","NY","boldest19","2026-07-19T04:03:58.000Z"
"01enh","2","10","22","PG","Stephen Curry","GS","joberry","2026-07-19T04:03:58.000Z"
"06ca8","2","11","23","SF","Amen Thompson","HOU","Oceanman","2026-07-19T04:03:59.000Z"
"04qrk","2","12","24","PG","Trae Young","WAS","SirGladiator","2026-07-19T04:13:53.000Z"
"01eo6","3","1","25","PG","James Harden","CLE","SirGladiator","2026-07-19T04:14:29.000Z"
"05qto","3","2","26","PG","LaMelo Ball","MIN","Oceanman","2026-07-19T04:14:30.000Z"
"05uus","3","3","27","SG","Austin Reaves","LAL","joberry","2026-07-19T04:22:25.000Z"
"04qsa","3","4","28","PG","Jalen Brunson","NY","boldest19","2026-07-19T12:22:36.000Z"
"02nf1","3","5","29","PF","Anthony Davis","WAS","Skyrine","2026-07-19T12:57:46.000Z"
"05uig","3","6","30","PG","Josh Giddey","CHI","jlinebaugh","2026-07-19T13:27:07.000Z"
"04ewf","3","7","31","C","Bam Adebayo","MIA","BadHabits","2026-07-19T13:27:08.000Z"
"0621c","3","8","32","C","Jalen Duren","DET","starks43","2026-07-19T15:20:58.000Z"
"05qtj","3","9","33","SF","Deni Avdija","POR","bennyo","2026-07-19T15:25:36.000Z"
"05uid","3","10","34","PF","Evan Mobley","CLE","Anyang","2026-07-19T22:38:11.307Z"
"04azw","3","11","35","PF","Lauri Markkanen","UTA","oceansstar","2026-07-19T22:42:37.782Z"
"027oz","3","12","36","SF","Kawhi Leonard","LAC","Sternhold","2026-07-19T22:56:01.233Z"
"05uir","4","1","37","SF","Trey Murphy","NO","Sternhold","2026-07-19T22:56:13.699Z"
"0621l","4","2","38","C","Walker Kessler","LAL","oceansstar","2026-07-19T23:01:24.227Z"
"042nm","4","3","39","PF","Pascal Siakam","IND","Anyang","2026-07-20T05:52:17.745Z"
"06mjz","4","4","40","C","Donovan Clingan","POR","bennyo","2026-07-20T07:03:14.978Z"
"06211","4","5","41","C","Chet Holmgren","OKC","starks43","2026-07-20T10:30:47.609Z"
"042n7","4","6","42","C","Domantas Sabonis","SAC","BadHabits","2026-07-20T10:30:47.877Z"
"03ajv","4","7","43","PF","Julius Randle","BKN","jlinebaugh","2026-07-20T13:35:29.443Z"
"0011e","4","8","44","SF","LeBron James","(N/A)","Skyrine","2026-07-20T13:35:29.726Z"
"06mjw","4","9","45","PG","Stephon Castle","SA","boldest19","2026-07-20T16:30:50.777Z"
"04ewt","4","10","46","SG","Derrick White","BOS","joberry","2026-07-20T16:30:51.058Z"
"051ol","4","11","47","PG","Darius Garland","LAC","Oceanman","2026-07-20T16:30:52.563Z"
"06v5n","4","12","48","SF","Kon Knueppel","CHA","SirGladiator","2026-07-20T20:23:59.392Z"
"06cca","5","1","49","SF","Brandon Miller","CHA","SirGladiator","2026-07-20T20:24:03.680Z"
"05qt3","5","2","50","SG","Desmond Bane","ORL","Oceanman","2026-07-20T20:24:03.957Z"
"06mk3","5","3","51","SF","Matas Buzelis","CHI","joberry","2026-07-20T20:24:05.459Z"
"042n1","5","4","52","SF","Brandon Ingram","TOR","boldest19","2026-07-21T00:18:05.177Z"
"04qrr","5","5","53","SF","Michael Porter","BKN","Skyrine","2026-07-21T01:06:48.119Z"
"051oh","5","6","54","PF","Zion Williamson","NO","jlinebaugh","2026-07-21T01:10:08.472Z"
"06227","5","7","55","PG","Ryan Rollins","MIL","BadHabits","2026-07-21T03:16:03.558Z"
"051ot","5","8","56","SG","Tyler Herro","MIL","starks43","2026-07-21T03:47:02.434Z"
"051ox","5","9","57","SG","Nickeil Alexander-Walker","ATL","bennyo","2026-07-21T06:00:48.557Z"
"03al2","5","10","58","C","Joel Embiid","PHI","Anyang","2026-07-21T06:06:06.976Z"
"0621b","5","11","59","SG","Jalen Williams","OKC","oceansstar","2026-07-21T06:06:07.252Z"
"06cby","5","12","60","PG","Keyonte George","UTA","Sternhold","2026-07-21T08:00:19.922Z"
"06mju","6","1","61","C","Alex Sarr","WAS","Sternhold","2026-07-21T08:00:36.272Z"
"06217","6","2","62","SG","Dyson Daniels","ATL","oceansstar","2026-07-21T08:54:11.026Z"
"04qrj","6","3","63","C","Jaren Jackson","UTA","Anyang","2026-07-21T09:26:27.659Z"
"05uii","6","4","64","SF","Franz Wagner","ORL","bennyo","2026-07-21T09:33:25.996Z"
"051oj","6","5","65","SF","RJ Barrett","TOR","starks43","2026-07-21T11:55:02.601Z"
"042nt","6","6","66","C","Ivica Zubac","IND","BadHabits","2026-07-21T13:21:12.327Z"
"027oj","6","7","67","SG","Kyrie Irving","DAL","jlinebaugh","2026-07-21T14:12:13.152Z"
"042nq","6","8","68","PG","Dejounte Murray","NO","Skyrine","2026-07-21T14:12:13.427Z"
"049kb","6","9","69","PG","DeAaron Fox","SA","boldest19","2026-07-21T19:35:42.061Z"
"02xg9","6","10","70","C","Rudy Gobert","MIN","joberry","2026-07-21T19:35:42.342Z"
"06ccf","6","11","71","SF","Ausar Thompson","DET","Oceanman","2026-07-21T19:35:43.885Z"
"051on","6","12","72","SG","Coby White","CHA","SirGladiator","2026-07-21T19:54:03.636Z"
"076vc","7","1","73","PF","Cameron Boozer","MEM","SirGladiator","2026-07-21T19:54:09.911Z"
"05qt1","7","2","74","PG","Payton Pritchard","BOS","Oceanman","2026-07-22T03:51:42.235Z"
"04qrn","7","3","75","SF","Mikal Bridges","NY","joberry","2026-07-22T03:51:42.522Z"
"05qtt","7","4","76","C","Onyeka Okongwu","ATL","boldest19","2026-07-22T04:42:25.197Z"
"06mk1","7","5","77","C","Zach Edey","MEM","Skyrine","2026-07-22T04:52:55.684Z"
"02nf6","7","6","78","PG","Damian Lillard","POR","jlinebaugh","2026-07-22T12:53:03.934Z"
"051oi","7","7","79","PG","Ja Morant","POR","BadHabits","2026-07-22T12:53:05.431Z"
"076ta","7","8","80","SF","AJ Dybantsa","WAS","starks43","2026-07-22T13:25:04.069Z"
"051pa","7","9","81","SG","Kevin Porter","MIL","bennyo","2026-07-22T14:16:29.305Z"
"04ewn","7","10","82","PF","OG Anunoby","NY","Anyang","2026-07-22T14:36:51.920Z"
"01uyj","7","11","83","PF","Paul George","BOS","oceansstar","2026-07-22T14:39:32.256Z"
"04ewm","7","12","84","C","Jarrett Allen","CLE","Sternhold","2026-07-22T14:48:51.078Z"
"06v5k","8","1","85","SG","VJ Edgecombe","PHI","Sternhold","2026-07-22T14:49:23.365Z"
"05qu9","8","2","86","PG","Immanuel Quickley","TOR","oceansstar","2026-07-22T14:51:35.673Z"
"06v5h","8","3","87","C","Derik Queen","NO","Anyang","2026-07-22T17:12:51.073Z"
"03r7z","8","4","88","SG","Norman Powell","CHI","bennyo","2026-07-22T17:58:34.731Z"
"076t9","8","5","89","SG","Darryn Peterson","UTA","starks43","2026-07-22T22:20:56.523Z"
"076t0","8","6","90","PF","Caleb Wilson","CHI","BadHabits","2026-07-23T02:21:39.681Z"
"0527h","8","7","91","C","Naz Reid","CHA","jlinebaugh","2026-07-23T02:30:44.243Z"
"06v5y","8","8","92","SG","Dylan Harper","SA","Skyrine","2026-07-23T04:42:57.624Z"
"04qrp","8","9","93","SF","Miles Bridges","PHO","boldest19","2026-07-23T11:09:29.395Z"
"06mk7","8","10","94","C","Kelel Ware","MIL","joberry","2026-07-23T11:09:59.697Z"
"06212","8","11","95","PF","Jabari Smith","HOU","Oceanman","2026-07-23T11:09:59.976Z"
"03ad2","8","12","96","C","Myles Turner","MIL","SirGladiator","2026-07-23T19:10:10.859Z"
